Date,Close/Last,Volume,Open,High,Low
02/09/2024,$174.45,56985990,$170.90,$175.00,$170.5803
02/08/2024,$169.84,42316450,$169.65,$171.43,$168.88
02/07/2024,$170.53,47174060,$169.48,$170.88,$168.94
02/06/2024,$169.15,42505520,$169.39,$170.71,$167.65
02/05/2024,$170.31,55081300,$170.20,$170.55,$167.70
02/02/2024,$171.81,117218300,$169.19,$172.50,$167.33
02/01/2024,$159.28,76542420,$155.87,$159.76,$155.62
01/31/2024,$155.20,50284370,$157.00,$159.01,$154.81
01/30/2024,$159.00,45207430,$160.70,$161.73,$158.49
01/29/2024,$161.26,45270390,$159.34,$161.29,$158.90
01/26/2024,$159.12,51047350,$158.42,$160.72,$157.91
01/25/2024,$157.75,43638590,$156.95,$158.505,$154.5501
01/24/2024,$156.87,48547320,$157.80,$158.51,$156.48
01/23/2024,$156.02,37986040,$154.85,$156.21,$153.93
01/22/2024,$154.78,43687470,$156.89,$157.05,$153.90
01/19/2024,$155.34,51651630,$153.83,$155.76,$152.74
01/18/2024,$153.50,37850250,$152.77,$153.775,$151.82
01/17/2024,$151.71,34953360,$151.49,$152.15,$149.91
01/16/2024,$153.16,41384640,$153.53,$154.99,$152.15
01/12/2024,$154.62,40484160,$155.39,$156.20,$154.01
01/11/2024,$155.18,49072690,$155.04,$157.17,$153.12
