Date,Close/Last,Volume,Open,High,Low
02/09/2024,$420.55,22032840,$415.25,$420.82,$415.09
02/08/2024,$414.11,21225260,$414.05,$415.56,$412.53
02/07/2024,$414.05,22340530,$407.44,$414.30,$407.40
02/06/2024,$405.49,18382620,$405.88,$407.97,$402.91
02/05/2024,$405.65,25352290,$409.90,$411.16,$403.99
02/02/2024,$411.22,28256670,$403.81,$412.65,$403.56
02/01/2024,$403.78,30657730,$401.83,$408.00,$401.80
01/31/2024,$397.58,47871100,$406.96,$415.32,$397.21
01/30/2024,$408.59,33477610,$412.26,$413.05,$406.4501
01/29/2024,$409.72,24510240,$406.06,$409.98,$404.33
01/26/2024,$403.93,17803270,$404.37,$406.17,$402.43
01/25/2024,$404.87,21021160,$404.32,$407.01,$402.5294
01/24/2024,$402.56,24866950,$401.54,$405.63,$400.45
01/23/2024,$398.90,20525880,$395.75,$399.38,$393.93
01/22/2024,$396.51,27016900,$400.02,$400.62,$393.59
01/19/2024,$398.67,29331140,$395.76,$398.67,$393.50
01/18/2024,$393.87,23392070,$391.72,$393.99,$390.12
01/17/2024,$389.47,22234110,$387.98,$390.11,$384.81
01/16/2024,$390.27,27202270,$393.66,$394.03,$387.6229
01/12/2024,$388.47,21661150,$385.49,$388.68,$384.65
01/11/2024,$384.63,27850850,$386.00,$390.68,$380.38
