Date,Close/Last,Volume,Open,High,Low
02/09/2024,$97.30,9385584,$96.32,$97.99,$96.29
02/08/2024,$96.59,9888133,$95.10,$96.69,$93.925
02/07/2024,$95.31,9077973,$96.24,$96.6593,$94.43
02/06/2024,$95.67,11531490,$92.50,$95.70,$92.35
02/05/2024,$92.51,7335836,$92.78,$92.868,$91.90
02/02/2024,$92.99,11366590,$92.69,$93.61,$91.67
02/01/2024,$93.37,15001460,$93.10,$93.60,$91.87
01/31/2024,$93.03,26751780,$98.28,$98.36,$93.02
01/30/2024,$94.08,17625240,$93.00,$94.68,$92.585
01/29/2024,$93.80,12728070,$93.02,$93.93,$92.24
01/26/2024,$92.80,9229443,$92.92,$93.49,$92.41
01/25/2024,$92.61,11991470,$92.22,$92.65,$91.715
01/24/2024,$92.04,7661364,$92.55,$92.84,$91.99
01/23/2024,$91.97,10227080,$93.03,$93.645,$91.77
01/22/2024,$93.07,9420979,$93.80,$93.92,$92.81
01/19/2024,$93.86,9565850,$93.18,$94.24,$92.64
01/18/2024,$93.34,7549528,$91.96,$93.425,$91.82
01/17/2024,$91.77,6672876,$91.66,$91.955,$91.40
01/16/2024,$92.70,7493443,$92.66,$92.73,$91.73
01/12/2024,$91.98,5641163,$93.23,$93.40,$91.7716
01/11/2024,$92.94,6483610,$93.33,$93.64,$91.90
